repo_owner_name,repo_name,repository_url,star_count,fork_count,pushedat,binding_file_path
patriciogonzalezvivo,glslViewer,https://github.com/patriciogonzalezvivo/glslViewer,4245,337,2023-10-22T18:31:47Z,test_output/glslViewer/src/python/bindings.cpp
mindspore-ai,mindspore,https://github.com/mindspore-ai/mindspore,3767,626.0,2023-07-26T22:31:11Z,"test_output/mindspore/mindspore/lite/python/src/pybind_module.cc, test_output/mindspore/mindspore/ccsrc/minddata/dataset/api/python/pybind_register.cc, test_output/mindspore/mindspore/ccsrc/minddata/mindrecord/common/shard_pybind.cc, test_output/mindspore/mindspore/ccsrc/pipeline/jit/init.cc, test_output/mindspore/mindspore/ccsrc/common/debug/common.cc, test_output/mindspore/mindspore/ccsrc/debug/debugger/offline_debug/mi_pybind_register.cc, test_output/mindspore/mindspore/ccsrc/plugin/device/ascend/hal/device/distribute/mpi_pycc.cc, test_output/mindspore/mindspore/core/utils/log_adapter.cc"
OpenNMT,CTranslate2,https://github.com/OpenNMT/CTranslate2,2018,186.0,2023-10-19T12:38:11Z,test_output/CTranslate2/python/cpp/module.cc
mitsuba-renderer,mitsuba2,https://github.com/mitsuba-renderer/mitsuba2,2015,254.0,2022-08-22T09:30:10Z,"test_output/mitsuba2/src/libcore/python/main.cpp, test_output/mitsuba2/src/libcore/python/main_v.cpp, test_output/mitsuba2/src/libui/python/main.cpp, test_output/mitsuba2/src/librender/python/main.cpp, test_output/mitsuba2/src/librender/python/main_v.cpp, test_output/mitsuba2/src/librender/python/old/main.cpp"
ytsaurus,ytsaurus,https://github.com/ytsaurus/ytsaurus,1627,,,"test_output/ytsaurus/contrib/python/matplotlib/py3/src/_ttconv.cpp, test_output/ytsaurus/contrib/python/matplotlib/py3/src/tri/_tri_wrapper.cpp, test_output/ytsaurus/contrib/python/contourpy/src/wrap.cpp, test_output/ytsaurus/contrib/libs/pybind11/include/pybind11/pybind11.h, test_output/ytsaurus/contrib/libs/pybind11/include/pybind11/detail/internals.h, test_output/ytsaurus/contrib/libs/pybind11/include/pybind11/detail/type_caster_base.h, test_output/ytsaurus/contrib/libs/pybind11/include/pybind11/detail/common.h"
AcademySoftwareFoundation,OpenColorIO,https://github.com/AcademySoftwareFoundation/OpenColorIO,1599,,,test_output/OpenColorIO/src/bindings/python/PyOpenColorIO.cpp
Farama-Foundation,ViZDoom,https://github.com/Farama-Foundation/ViZDoom,1590,,,test_output/ViZDoom/src/lib_python/ViZDoomPythonModule.cpp
KomputeProject,kompute,https://github.com/KomputeProject/kompute,1278,,,test_output/kompute/python/src/main.cpp
artivis,manif,https://github.com/artivis/manif,1277,,,test_output/manif/python/bindings_manif.cpp
symforce-org,symforce,https://github.com/symforce-org/symforce,1249,,,test_output/symforce/symforce/pybind/cc_sym.cc
